id,program_name,university_name,official_url,review_status,suggested_original_fee_rule,rationale
poland-the-karol-szymanowski-academy-of-music-in-katowice-composition-and-musical-theory-katowice-bachelor,Composition and musical theory,The Karol Szymanowski Academy of Music in Katowice,https://go-poland.pl/university/karol-szymanowski-academy-music-katowice,unresolved,,No safe fee rule found yet
poland-the-karol-szymanowski-academy-of-music-in-katowice-composition-and-musical-theory-katowice-master,Composition and musical theory,The Karol Szymanowski Academy of Music in Katowice,https://go-poland.pl/university/karol-szymanowski-academy-music-katowice,unresolved,,No safe fee rule found yet
poland-agh-university-of-krakow-computer-science-krakow-bachelor,Computer science,AGH University of Krakow,https://sylabusy.agh.edu.pl/en/1/2/20/1/4/16/104,unresolved,,No safe fee rule found yet
poland-polish-japanese-academy-of-information-technology-computer-science-program-studiow-warsaw-bachelor,Computer science - Program Studiow,Polish-Japanese Academy of Information Technology,https://pja.edu.pl/en/informatyka/informatyka-studia-i-stopnia-stacjonarne-anglojezyczne/program-studiow/,unresolved,,No safe fee rule found yet
poland-polish-japanese-academy-of-information-technology-computer-science-polish-japanese-academy-information-,Computer science - Polish Japanese Academy Information Technology,Polish-Japanese Academy of Information Technology,https://study.gov.pl/university/polish-japanese-academy-information-technology,unresolved,,No safe fee rule found yet
poland-czestochowa-university-of-technology-artificial-intelligence-and-data-science-czestochowa-master,Artificial Intelligence and Data Science,Czestochowa University of Technology,https://pcz.pl/en/admission/degree-programmes/masters-degree,unresolved,,No safe fee rule found yet
poland-university-college-of-enterprise-and-administration-in-lublin-computer-science-lublin-bachelor,Computer science,University College of Enterprise and Administration in Lublin,http://www.en.wspa.pl/education/undergraduate_programs/computer_science/,unresolved,,No safe fee rule found yet
poland-university-of-humanities-and-economics-in-lodz-computer-science-odz-bachelor,Computer science,University of Humanities and Economics in Lodz,http://www.ahe.lodz.pl/en/study-in-english/eng-in-computer-science,unresolved,,No safe fee rule found yet
poland-university-of-information-technology-and-management-computer-science-rzeszow-master,Computer science,University of Information Technology and Management,http://kandydaci.wsiz.rzeszow.pl/en/academic-programmes/graduate-programmes/information-technology,unresolved,,No safe fee rule found yet
poland-vistula-university-computer-science-warsaw-master,Computer science,Vistula University,https://vistula.edu.pl/en/major/computer-engineering_ii,unresolved,,No safe fee rule found yet
poland-the-university-of-dabrowa-gornicza-computer-science-dabrowa-gornicza-bachelor,Computer science,The University of Dąbrowa Górnicza,http://www.wsb.edu.pl/index.php?p=m&idg=en%2C1304%2C1967,unresolved,,No safe fee rule found yet
poland-kielce-university-of-technology-computer-science-kielce-bachelor,Computer science,Kielce University of Technology,https://irk.usos.tu.kielce.pl/en-gb/offer/S1_2024-2025_CDZ/programme/E-INF-EN-ST1/?from=registration%3AS1_2024-2025_CDZ,unresolved,,No safe fee rule found yet
poland-the-karol-szymanowski-academy-of-music-in-katowice-conducting-katowice-bachelor,Conducting,The Karol Szymanowski Academy of Music in Katowice,https://go-poland.pl/university/karol-szymanowski-academy-music-katowice,unresolved,,No safe fee rule found yet
poland-the-karol-szymanowski-academy-of-music-in-katowice-conducting-katowice-master,Conducting,The Karol Szymanowski Academy of Music in Katowice,https://go-poland.pl/university/karol-szymanowski-academy-music-katowice,unresolved,,No safe fee rule found yet
poland-silesian-university-of-technology-control-electronics-and-information-engineering-ceie-gliwice-master,"Control, Electronics, and Information Engineering (CEIE)",Silesian University of Technology,https://apply.polsl.pl/courses/course/17-msc-automatic-control-electronics-telecommunication-and-informatics?search=630,unresolved,,No safe fee rule found yet
poland-cracow-university-of-economics-corporate-finance-and-accounting-krakow-master,Corporate finance and accounting,Cracow University of Economics,http://www.bpz.uek.krakow.pl/corporate-finance-and-accounting1.html?language=en,unresolved,,No safe fee rule found yet
poland-university-of-gdansk-criminal-justice-gdansk-bachelor,Criminal Justice,University of Gdansk,https://en.ug.edu.pl/study/educational_offer/20202021/criminology_and_criminal_justice-full-time-bachelors,unresolved,,No safe fee rule found yet
